epoch,Sensitivity,Specificity,accuracy,auc,fn,fp,loss,lr,prc,precision,recall,tn,tp,val_Sensitivity,val_Specificity,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_prc,val_precision,val_recall,val_tn,val_tp
0,0.7750596404075623,0.9358597993850708,0.8429868817329407,0.8170346617698669,11162.0,10885.0,3.6214704513549805,0.001,0.5756554007530212,0.6085377335548401,0.6025353670120239,101447.0,16921.0,0.7750855088233948,0.9525370597839355,0.8895096778869629,0.8500645756721497,972.0,966.0,3.561150074005127,0.6605119109153748,0.7241576313972473,0.7229190468788147,13066.0,2536.0
1,0.7938610315322876,0.9423138499259949,0.8496456742286682,0.8300772309303284,10700.0,10412.0,3.222646474838257,0.001,0.599609911441803,0.6254002451896667,0.6189865469932556,101920.0,17383.0,0.8135690093040466,0.9587371945381165,0.8735461831092834,0.8536972999572754,1127.0,1091.0,2.8820769786834717,0.6553683280944824,0.6857718825340271,0.678734302520752,12941.0,2381.0
2,0.7902289628982544,0.9443613290786743,0.8519032597541809,0.8309519290924072,10524.0,10271.0,3.359449625015259,0.001,0.6011524200439453,0.6309378147125244,0.6252537369728088,102061.0,17559.0,0.7919042110443115,0.9059293270111084,0.8198403716087341,0.8049752712249756,1606.0,1554.0,3.121225357055664,0.5325378775596619,0.5503472089767456,0.5421893000602722,12478.0,1902.0
3,0.7927215695381165,0.9452604651451111,0.8522451519966125,0.831982433795929,10505.0,10242.0,3.190938949584961,0.001,0.6039907932281494,0.631847620010376,0.6259302496910095,102090.0,17578.0,0.7876282930374146,0.9565279483795166,0.8777080774307251,0.8503894209861755,1076.0,1069.0,3.8225293159484863,0.6509954333305359,0.6946586966514587,0.6932725310325623,12963.0,2432.0
4,0.8003774285316467,0.9453672766685486,0.8528077602386475,0.835675835609436,10463.0,10205.0,3.1443567276000977,0.001,0.6081721782684326,0.6332435011863708,0.6274258494377136,102127.0,17620.0,0.7759407162666321,0.9536772966384888,0.8659635186195374,0.8360946178436279,1182.0,1169.0,3.4892327785491943,0.6268645524978638,0.6655221581459045,0.6630558967590332,12863.0,2326.0
5,0.7955702543258667,0.9458124041557312,0.8540967702865601,0.8357605338096619,10349.0,10138.0,3.18709135055542,0.001,0.6095720529556274,0.6362658143043518,0.6314852237701416,102194.0,17734.0,0.7839224338531494,0.955316424369812,0.8631128668785095,0.8357516527175903,1212.0,1189.0,3.4006500244140625,0.6259238123893738,0.658823549747467,0.6545040011405945,12843.0,2296.0
6,0.7990955114364624,0.9469162821769714,0.8547947406768799,0.837496817111969,10304.0,10085.0,3.197415590286255,0.001,0.6113394498825073,0.6380634307861328,0.6330876350402832,102247.0,17779.0,0.7782211899757385,0.9547463059425354,0.8859179019927979,0.8496978282928467,1007.0,994.0,3.898632287979126,0.6587494611740112,0.715593695640564,0.7129418253898621,13038.0,2501.0
7,0.8527935147285461,0.954305112361908,0.8633550405502319,0.8625345826148987,9793.0,9394.0,2.214287519454956,0.0005,0.6548328399658203,0.6606703996658325,0.6512836813926697,102938.0,18290.0,0.839224636554718,0.9232468605041504,0.8327252268791199,0.8281978368759155,1510.0,1424.0,2.451296329498291,0.5742155313491821,0.5838690996170044,0.5695552825927734,12608.0,1998.0
8,0.8616600632667542,0.9554356932640076,0.8654844760894775,0.866187572479248,9682.0,9206.0,1.989402174949646,0.0005,0.6612905263900757,0.6665338277816772,0.6552362442016602,103126.0,18401.0,0.8303877115249634,0.9536060690879822,0.8639110326766968,0.8509429693222046,1212.0,1175.0,2.392453670501709,0.6416822671890259,0.6614808440208435,0.6545040011405945,12857.0,2296.0
9,0.8677135705947876,0.954581081867218,0.8654345870018005,0.866969108581543,9696.0,9199.0,1.9400253295898438,0.0005,0.6601635217666626,0.6665337681770325,0.6547377705574036,103133.0,18387.0,0.8053021430969238,0.9634407162666321,0.8818129897117615,0.8542155027389526,1047.0,1026.0,2.8155531883239746,0.6655288934707642,0.7057642936706543,0.7015393376350403,13006.0,2461.0
10,0.8767938017845154,0.955738365650177,0.8660328388214111,0.8714292049407959,9637.0,9174.0,1.8457672595977783,0.0005,0.6666853427886963,0.6678493618965149,0.6568386554718018,103158.0,18446.0,0.8377993106842041,0.9494726061820984,0.8630558848381042,0.8554795980453491,1214.0,1188.0,2.3614566326141357,0.6436448097229004,0.6588167548179626,0.6539338827133179,12844.0,2294.0
11,0.8702774047851562,0.9544297456741333,0.8650286793708801,0.8677588105201721,9745.0,9207.0,1.8788567781448364,0.0005,0.6612898111343384,0.6657469868659973,0.6529929041862488,103125.0,18338.0,0.8437856435775757,0.9360034465789795,0.8426454067230225,0.8381839394569397,1414.0,1346.0,2.3610916137695312,0.6033055186271667,0.6087209582328796,0.5969213247299194,12686.0,2094.0
12,0.8773635029792786,0.9547768831253052,0.8653135299682617,0.8701506853103638,9701.0,9211.0,1.8321335315704346,0.0005,0.6649073362350464,0.6661834716796875,0.6545596718788147,103121.0,18382.0,0.8192702531814575,0.9605188369750977,0.874458372592926,0.8532520532608032,1121.0,1081.0,2.3220794200897217,0.6602698564529419,0.6882929801940918,0.6804447174072266,12951.0,2387.0
13,0.8786810636520386,0.9548125267028809,0.866161048412323,0.8712428212165833,9665.0,9128.0,1.793727159500122,0.0005,0.6670980453491211,0.6686270236968994,0.655841588973999,103204.0,18418.0,0.8691562414169312,0.9492588639259338,0.857525646686554,0.8569725155830383,1290.0,1209.0,1.9759958982467651,0.6352694034576416,0.6472132802009583,0.6322690844535828,12823.0,2218.0
14,0.8793932199478149,0.9545899629592896,0.8646868467330933,0.8707293272018433,9769.0,9231.0,1.8022034168243408,0.0005,0.6643486618995667,0.6648756861686707,0.6521382927894592,103101.0,18314.0,0.825541615486145,0.95595782995224,0.8660775423049927,0.8485434055328369,1191.0,1158.0,2.3421738147735596,0.6387962102890015,0.6667625904083252,0.6604903340339661,12874.0,2317.0
15,0.9167467951774597,0.9618452191352844,0.8737314343452454,0.8906070590019226,9230.0,8500.0,1.3836907148361206,0.00025,0.7018280029296875,0.6892479658126831,0.6713314056396484,103832.0,18853.0,0.875142514705658,0.9576681852340698,0.8694983124732971,0.8662925958633423,1164.0,1125.0,1.9282045364379883,0.6632376313209534,0.6756990551948547,0.6681870222091675,12907.0,2344.0
